days,all,steam,xbox,mixed-unadjusted,solo,team,mixed
0,1,1,1,1,1,1,1
1,0.911784785,0.919108028,0.898730154,0.986804374,0.881985458,0.891677127,0.975679172
2,0.882313492,0.892705818,0.863752933,0.978384501,0.836751268,0.858978711,0.95899644
3,0.85724888,0.870084051,0.834304146,0.971006283,0.798564773,0.831058028,0.942803549
4,0.833583105,0.849351253,0.805373749,0.962825746,0.763958077,0.804614118,0.928535399
5,0.811108564,0.828858565,0.779339224,0.954188753,0.731757496,0.779581314,0.91314531
6,0.788143233,0.807654338,0.753206305,0.943403251,0.699660138,0.754510505,0.896989089
7,0.765896233,0.7871014,0.727912244,0.932590606,0.670899541,0.729484538,0.881001981
8,0.742329393,0.765007516,0.70169242,0.920735241,0.639858913,0.703308372,0.864491933
9,0.72175214,0.746140331,0.678036744,0.909434105,0.614884962,0.680054909,0.848791616
10,0.702987114,0.728663914,0.656948135,0.898972659,0.591805378,0.658985176,0.834946697
11,0.685597943,0.71234675,0.637622214,0.888662903,0.570651357,0.639618576,0.819959489
12,0.668496018,0.696008735,0.619135787,0.877598528,0.547683032,0.621747606,0.806879433
13,0.65097151,0.679127664,0.600445342,0.865167682,0.526879167,0.602918167,0.79182509
14,0.633606267,0.661939947,0.582753071,0.85333159,0.506091825,0.584069992,0.774894527
15,0.614891743,0.643833617,0.56293458,0.840165432,0.485057821,0.563411531,0.761227858
16,0.599351933,0.628856259,0.546375126,0.827272744,0.468307759,0.546880952,0.748441719
17,0.586090247,0.616065699,0.532257585,0.817035671,0.452292329,0.533011872,0.735751444
18,0.572919609,0.603574838,0.517853138,0.805789245,0.436278274,0.519773684,0.721532917
19,0.559787091,0.590899589,0.503886995,0.794414035,0.421357766,0.506251346,0.708084619
20,0.54677132,0.578604529,0.489560161,0.783222309,0.408430865,0.492121021,0.695529515
21,0.534157745,0.566057374,0.476818383,0.771320524,0.396374233,0.478750258,0.683423687
22,0.520829533,0.552917009,0.463140068,0.759459455,0.382785985,0.464566864,0.670894057
23,0.508930978,0.541460391,0.450432069,0.74804337,0.370872713,0.452209665,0.657905567
24,0.498053721,0.5307217,0.439292552,0.737395788,0.360368543,0.440863814,0.644838152
25,0.486993583,0.520140223,0.427348497,0.726203811,0.348862257,0.429793693,0.632543526
26,0.476222102,0.509601851,0.416138484,0.714309756,0.337561234,0.419526793,0.620339725
27,0.465835459,0.499019149,0.406091841,0.70269832,0.327729696,0.409303782,0.609588709
28,0.455627322,0.488842239,0.395807596,0.69137955,0.318545689,0.399027238,0.598868376
29,0.444396339,0.477282034,0.385155689,0.679753359,0.307355982,0.387687814,0.587818233
30,0.434570462,0.467289556,0.375613767,0.669086119,0.298505417,0.377657961,0.576681542
31,0.425422358,0.457677935,0.367293656,0.658122716,0.29095113,0.3685814,0.565583071
32,0.416930851,0.448903528,0.359298813,0.648674314,0.282972169,0.360131405,0.554567686
33,0.408155117,0.439937338,0.350846426,0.63891089,0.274479971,0.351476804,0.545815725
34,0.399855671,0.431775046,0.342263667,0.628797497,0.267388951,0.34339364,0.536792912
35,0.391713999,0.42344767,0.334434799,0.619621371,0.260193758,0.335150819,0.526304604
36,0.383160831,0.414469489,0.326634696,0.60902222,0.252855465,0.326903325,0.516085737
37,0.375494091,0.406339633,0.319794064,0.599496617,0.246748039,0.319338595,0.507005833
38,0.368106249,0.398582272,0.31305683,0.590077172,0.241436358,0.311953112,0.497743291
39,0.361042039,0.391532122,0.305920067,0.581416436,0.234880774,0.305245608,0.488571454
40,0.35386955,0.384023961,0.299331879,0.570994601,0.230212597,0.298568657,0.478316373
41,0.346935256,0.37659487,0.293284052,0.561299797,0.225168013,0.292098728,0.469221029
42,0.340629759,0.369924864,0.28762117,0.552633719,0.220090014,0.286314432,0.460429835
43,0.334156321,0.362682593,0.282560025,0.543539976,0.21526891,0.280330585,0.452868695
44,0.328217996,0.356389785,0.277246844,0.535372445,0.210506324,0.27486419,0.445986867
45,0.322694202,0.350291989,0.272773023,0.527478129,0.205590336,0.270131004,0.438896935
46,0.317207255,0.344357416,0.268093093,0.519642403,0.201470004,0.26512413,0.431904705
47,0.311746811,0.338535698,0.263272457,0.510853045,0.197374106,0.260716477,0.42357618
48,0.306369737,0.332801722,0.258527039,0.503053258,0.19243605,0.25622843,0.417748615
49,0.301506107,0.327853492,0.253768872,0.49590244,0.188699427,0.251934884,0.411494164
50,0.296828495,0.322943191,0.249486355,0.488639118,0.184132445,0.248423089,0.405293227
51,0.292641566,0.318414491,0.245914787,0.482230044,0.180659256,0.244976682,0.398438194
52,0.288553827,0.313960464,0.242492196,0.475286799,0.177568233,0.241917589,0.393143046
53,0.285053937,0.310374431,0.239107195,0.470578052,0.17346919,0.239117182,0.388413908
54,0.281642977,0.306592716,0.236382621,0.465892082,0.171132905,0.235756934,0.383749649
55,0.278431166,0.303058962,0.233763324,0.460662602,0.169213433,0.23300014,0.377936681
56,0.274876468,0.299371318,0.230406263,0.455090232,0.165925929,0.2303048,0.373683685
57,0.272065947,0.296113803,0.228457301,0.450581111,0.163610683,0.228121816,0.369688136
58,0.269274852,0.293250716,0.225747835,0.446727429,0.161195766,0.225574954,0.367503095
59,0.266688331,0.290311425,0.223838028,0.442808377,0.158712556,0.223560049,0.363823736
60,0.264731118,0.28798859,0.222603879,0.439371073,0.156709172,0.222429446,0.361653359
61,0.262813438,0.285692784,0.221442215,0.43607045,0.155316889,0.221020773,0.359734137
62,0.261469697,0.284064972,0.22067314,0.433634303,0.15377669,0.220386193,0.358224235
