date,unit1,unit2,count
2024-07-04,behemoth,heavyballista,47
2024-07-04,advancedblink,behemoth,31
2024-07-04,advancedblink,heavyballista,5
2024-07-04,predator,sniper,4
2024-07-04,assaultbot,sniper,1
2024-07-04,advancedblink,assaultbot,1
2024-07-05,advancedblink,behemoth,23
2024-07-05,behemoth,heavyballista,19
2024-07-05,predator,sniper,12
2024-07-05,heavyballista,predator,10
2024-07-05,behemoth,sniper,10
2024-07-05,advancedblink,heavyballista,6
2024-07-05,assaultbot,predator,4
2024-07-05,behemoth,predator,2
2024-07-05,heavyballista,sniper,2
2024-07-05,advancedblink,predator,1
2024-07-06,behemoth,heavyballista,46
2024-07-06,advancedblink,behemoth,31
2024-07-06,heavyballista,sniper,16
2024-07-06,predator,sniper,5
2024-07-06,advancedblink,assaultbot,4
2024-07-06,advancedblink,heavyballista,3
2024-07-06,advancedblink,sniper,1
2024-07-06,behemoth,sniper,1
2024-07-06,behemoth,predator,1
2024-07-07,behemoth,heavyballista,48
2024-07-07,advancedblink,behemoth,35
2024-07-07,advancedblink,heavyballista,20
2024-07-07,predator,sniper,9
2024-07-07,heavyballista,sniper,7
2024-07-07,heavyballista,predator,5
2024-07-07,assaultbot,heavyballista,4
2024-07-07,assaultbot,behemoth,1
2024-07-07,behemoth,sniper,1
2024-07-07,assaultbot,sniper,1
2024-07-08,behemoth,heavyballista,82
2024-07-08,advancedblink,behemoth,35
2024-07-08,heavyballista,sniper,12
2024-07-08,advancedblink,heavyballista,10
2024-07-08,behemoth,sniper,9
2024-07-08,predator,sniper,7
2024-07-08,assaultbot,sniper,5
2024-07-08,advancedblink,sniper,3
2024-07-08,assaultbot,heavyballista,1
2024-07-08,assaultbot,behemoth,1
2024-07-09,behemoth,heavyballista,97
2024-07-09,advancedblink,behemoth,44
2024-07-09,assaultbot,heavyballista,19
2024-07-09,advancedblink,heavyballista,11
2024-07-09,heavyballista,sniper,10
2024-07-09,behemoth,sniper,8
2024-07-09,behemoth,predator,5
2024-07-09,advancedblink,sniper,3
2024-07-09,assaultbot,sniper,2
2024-07-09,predator,sniper,2
2024-07-09,advancedblink,assaultbot,1
2024-07-09,assaultbot,predator,1
2024-07-10,behemoth,heavyballista,96
2024-07-10,advancedblink,behemoth,37
2024-07-10,predator,sniper,32
2024-07-10,behemoth,sniper,11
2024-07-10,assaultbot,heavyballista,6
2024-07-10,assaultbot,sniper,6
2024-07-10,heavyballista,sniper,5
2024-07-10,behemoth,predator,4
2024-07-10,advancedblink,sniper,3
2024-07-10,advancedblink,assaultbot,3
2024-07-10,advancedblink,heavyballista,2
2024-07-10,advancedblink,predator,1
2024-07-10,assaultbot,behemoth,1
2024-07-10,heavyballista,predator,1
2024-07-10,assaultbot,predator,1
2024-07-11,behemoth,heavyballista,86
2024-07-11,advancedblink,behemoth,54
2024-07-11,predator,sniper,31
2024-07-11,assaultbot,sniper,17
2024-07-11,behemoth,sniper,13
2024-07-11,advancedblink,heavyballista,5
2024-07-11,assaultbot,heavyballista,5
2024-07-11,advancedblink,predator,5
2024-07-11,heavyballista,sniper,4
2024-07-11,advancedblink,sniper,3
2024-07-11,heavyballista,predator,2
2024-07-11,assaultbot,behemoth,2
2024-07-11,behemoth,predator,1
2024-07-11,assaultbot,predator,1
2024-07-12,behemoth,heavyballista,58
2024-07-12,advancedblink,behemoth,44
2024-07-12,advancedblink,heavyballista,11
2024-07-12,predator,sniper,9
2024-07-12,behemoth,sniper,8
2024-07-12,assaultbot,sniper,7
2024-07-12,heavyballista,predator,5
2024-07-12,heavyballista,sniper,4
2024-07-12,assaultbot,heavyballista,2
2024-07-12,advancedblink,predator,1
2024-07-12,assaultbot,predator,1
2024-07-12,advancedblink,assaultbot,1
2024-07-12,assaultbot,behemoth,1
2024-07-13,behemoth,heavyballista,47
2024-07-13,advancedblink,behemoth,18
2024-07-13,assaultbot,heavyballista,8
2024-07-13,advancedblink,assaultbot,8
2024-07-13,heavyballista,predator,8
2024-07-13,assaultbot,sniper,7
2024-07-13,advancedblink,sniper,5
2024-07-13,advancedblink,heavyballista,5
2024-07-13,predator,sniper,5
2024-07-13,assaultbot,predator,5
2024-07-13,behemoth,sniper,3
2024-07-13,heavyballista,sniper,3
2024-07-13,behemoth,predator,2
2024-07-14,behemoth,heavyballista,48
2024-07-14,advancedblink,behemoth,15
2024-07-14,assaultbot,sniper,7
2024-07-14,advancedblink,heavyballista,7
2024-07-14,heavyballista,predator,6
2024-07-14,assaultbot,predator,6
2024-07-14,assaultbot,behemoth,4
2024-07-14,behemoth,sniper,3
2024-07-14,advancedblink,assaultbot,2
2024-07-14,heavyballista,sniper,2
2024-07-14,advancedblink,sniper,2
2024-07-14,assaultbot,heavyballista,2
2024-07-15,behemoth,heavyballista,47
2024-07-15,advancedblink,behemoth,17
2024-07-15,advancedblink,heavyballista,10
2024-07-15,assaultbot,sniper,9
2024-07-15,behemoth,sniper,9
2024-07-15,heavyballista,predator,6
2024-07-15,heavyballista,sniper,5
2024-07-15,assaultbot,heavyballista,2
2024-07-15,predator,sniper,1
