date,unit1,unit2,count
2024-07-04,bulwark,valkyrie,7
2024-07-04,advancedbot,valkyrie,5
2024-07-04,katbus,valkyrie,4
2024-07-04,advancedbot,locust,3
2024-07-04,locust,valkyrie,2
2024-07-04,artillery,valkyrie,2
2024-07-05,katbus,valkyrie,12
2024-07-05,artillery,katbus,6
2024-07-05,artillery,valkyrie,6
2024-07-05,locust,valkyrie,5
2024-07-05,advancedbot,locust,5
2024-07-05,advancedbot,valkyrie,4
2024-07-05,bulwark,locust,4
2024-07-05,advancedbot,bulwark,2
2024-07-05,advancedbot,artillery,1
2024-07-05,kraken,valkyrie,1
2024-07-06,artillery,valkyrie,10
2024-07-06,katbus,valkyrie,9
2024-07-06,artillery,katbus,6
2024-07-06,bulwark,valkyrie,6
2024-07-06,locust,valkyrie,6
2024-07-06,advancedbot,bulwark,2
2024-07-06,advancedbot,locust,1
2024-07-06,advancedbot,valkyrie,1
2024-07-07,katbus,valkyrie,21
2024-07-07,bulwark,valkyrie,11
2024-07-07,advancedbot,valkyrie,10
2024-07-07,locust,valkyrie,9
2024-07-07,artillery,valkyrie,7
2024-07-07,artillery,katbus,3
2024-07-07,advancedbot,bulwark,2
2024-07-07,kraken,valkyrie,1
2024-07-07,advancedbot,artillery,1
2024-07-07,artillery,locust,1
2024-07-08,advancedbot,katbus,11
2024-07-08,advancedbot,valkyrie,9
2024-07-08,katbus,valkyrie,7
2024-07-08,artillery,valkyrie,5
2024-07-08,artillery,locust,2
2024-07-08,advancedbot,bulwark,2
2024-07-08,bulwark,katbus,2
2024-07-08,bulwark,kraken,1
2024-07-08,kraken,valkyrie,1
2024-07-08,advancedbot,locust,1
2024-07-09,katbus,valkyrie,47
2024-07-09,advancedbot,katbus,46
2024-07-09,advancedbot,locust,10
2024-07-09,advancedbot,artillery,9
2024-07-09,artillery,locust,7
2024-07-09,bulwark,katbus,6
2024-07-09,artillery,valkyrie,5
2024-07-09,advancedbot,bulwark,4
2024-07-09,locust,valkyrie,4
2024-07-09,advancedbot,kraken,4
2024-07-09,kraken,valkyrie,2
2024-07-09,bulwark,locust,2
2024-07-09,artillery,katbus,2
2024-07-09,katbus,locust,2
2024-07-09,artillery,kraken,1
2024-07-09,advancedbot,valkyrie,1
2024-07-09,katbus,kraken,1
2024-07-10,katbus,valkyrie,30
2024-07-10,advancedbot,katbus,15
2024-07-10,advancedbot,bulwark,8
2024-07-10,artillery,locust,7
2024-07-10,locust,valkyrie,6
2024-07-10,advancedbot,locust,4
2024-07-10,advancedbot,kraken,3
2024-07-10,bulwark,valkyrie,3
2024-07-10,bulwark,katbus,3
2024-07-10,kraken,valkyrie,2
2024-07-10,katbus,locust,1
2024-07-10,bulwark,locust,1
2024-07-10,artillery,katbus,1
2024-07-10,advancedbot,artillery,1
2024-07-11,katbus,valkyrie,38
2024-07-11,advancedbot,katbus,18
2024-07-11,locust,valkyrie,10
2024-07-11,advancedbot,locust,7
2024-07-11,artillery,valkyrie,6
2024-07-11,artillery,katbus,5
2024-07-11,artillery,locust,5
2024-07-11,advancedbot,kraken,5
2024-07-11,bulwark,katbus,5
2024-07-11,katbus,locust,4
2024-07-11,kraken,valkyrie,2
2024-07-11,advancedbot,bulwark,2
2024-07-11,advancedbot,valkyrie,1
2024-07-12,katbus,valkyrie,49
2024-07-12,advancedbot,katbus,19
2024-07-12,katbus,locust,15
2024-07-12,locust,valkyrie,8
2024-07-12,advancedbot,kraken,7
2024-07-12,bulwark,katbus,5
2024-07-12,advancedbot,locust,4
2024-07-12,kraken,locust,2
2024-07-12,artillery,valkyrie,2
2024-07-12,kraken,valkyrie,1
2024-07-12,advancedbot,valkyrie,1
2024-07-12,artillery,katbus,1
2024-07-12,advancedbot,bulwark,1
2024-07-12,artillery,locust,1
2024-07-13,katbus,valkyrie,77
2024-07-13,advancedbot,katbus,13
2024-07-13,katbus,locust,7
2024-07-13,advancedbot,locust,5
2024-07-13,bulwark,katbus,4
2024-07-13,locust,valkyrie,3
2024-07-13,advancedbot,kraken,2
2024-07-13,artillery,valkyrie,1
2024-07-13,kraken,valkyrie,1
2024-07-13,katbus,kraken,1
2024-07-13,advancedbot,artillery,1
2024-07-14,katbus,valkyrie,104
2024-07-14,kraken,valkyrie,9
2024-07-14,advancedbot,katbus,8
2024-07-14,advancedbot,locust,5
2024-07-14,bulwark,katbus,4
2024-07-14,artillery,katbus,4
2024-07-14,advancedbot,kraken,3
2024-07-14,katbus,locust,1
2024-07-15,katbus,valkyrie,57
2024-07-15,kraken,valkyrie,17
2024-07-15,locust,valkyrie,13
2024-07-15,advancedbot,katbus,9
2024-07-15,artillery,valkyrie,4
2024-07-15,advancedbot,kraken,3
2024-07-15,advancedbot,valkyrie,2
2024-07-15,artillery,locust,1
2024-07-15,bulwark,locust,1
