date,slug,techTierSlug,c,perc
2024-07-04,advancedblink,advancedfoundry,89,0.10496830311071798
2024-07-04,advancedbot,advancedstarforge,45,0.05307386112339673
2024-07-04,advancedrecall,starforge,30,0.03538257408226449
2024-07-04,airship,starforge,472,0.5566858322276279
2024-07-04,artillery,advancedstarforge,30,0.03538257408226449
2024-07-04,assaultbot,advancedfoundry,15,0.017691287041132243
2024-07-04,ballista,foundry,8,0.009435353088603863
2024-07-04,beetle,core,6,0.007076514816452897
2024-07-04,behemoth,advancedfoundry,222,0.2618310482087572
2024-07-04,blink,core,74,0.08727701606958572
2024-07-04,blinkhunter,core,206,0.24296034203154945
2024-07-04,bomber,foundry,31,0.036561993218339965
2024-07-04,bulwark,advancedstarforge,172,0.20286009140498304
2024-07-04,butterfly,starforge,166,0.19578357658853016
2024-07-04,crab,core,105,0.1238390092879257
2024-07-04,crusader,foundry,325,0.38331121922453193
2024-07-04,destroyer,foundry,203,0.239422084623323
2024-07-04,dragonfly,starforge,304,0.3585434173669468
2024-07-04,falcon,starforge,163,0.19224531918030371
2024-07-04,gunbot,core,140,0.1651186790505676
2024-07-04,heavyballista,advancedfoundry,482,0.5684800235883827
2024-07-04,heavyhunter,foundry,210,0.2476780185758514
2024-07-04,heavyturret,starforge,23,0.027126640129736104
2024-07-04,hornet,core,100,0.11794191360754828
2024-07-04,hunter,core,24,0.02830605926581159
2024-07-04,katbus,advancedstarforge,27,0.03184431667403804
2024-07-04,kingcrab,foundry,179,0.21111602535751142
2024-07-04,kraken,advancedstarforge,8,0.009435353088603863
2024-07-04,locust,advancedstarforge,99,0.1167624944714728
2024-07-04,mammoth,starforge,330,0.3892083149049093
2024-07-04,missilebot,core,137,0.16158042164234115
2024-07-04,mortar,foundry,223,0.2630104673448327
2024-07-04,predator,advancedfoundry,26,0.030664897537962553
2024-07-04,raider,foundry,2,0.0023588382721509656
2024-07-04,recall,core,225,0.26536930561698363
2024-07-04,recallhunter,core,145,0.171015774730945
2024-07-04,recallshocker,foundry,52,0.061329795075925106
2024-07-04,scorpion,core,161,0.18988648090815274
2024-07-04,shocker,foundry,277,0.32669910069290875
2024-07-04,sniper,advancedfoundry,103,0.12148017101577473
2024-07-04,stinger,starforge,185,0.21819254017396433
2024-07-04,swiftshocker,foundry,95,0.11204481792717087
2024-07-04,turret,foundry,2,0.0023588382721509656
2024-07-04,valkyrie,advancedstarforge,489,0.5767359575409111
2024-07-04,wasp,core,373,0.4399233377561551
2024-07-05,advancedblink,advancedfoundry,114,0.10734463276836158
2024-07-05,advancedbot,advancedstarforge,120,0.11299435028248588
2024-07-05,advancedrecall,starforge,41,0.038606403013182675
2024-07-05,airship,starforge,581,0.5470809792843692
2024-07-05,artillery,advancedstarforge,45,0.0423728813559322
2024-07-05,assaultbot,advancedfoundry,27,0.025423728813559324
2024-07-05,ballista,foundry,9,0.00847457627118644
2024-07-05,beetle,core,11,0.010357815442561206
2024-07-05,behemoth,advancedfoundry,94,0.08851224105461393
2024-07-05,blink,core,84,0.07909604519774012
2024-07-05,blinkhunter,core,340,0.32015065913371
2024-07-05,bomber,foundry,26,0.02448210922787194
2024-07-05,bulwark,advancedstarforge,249,0.2344632768361582
2024-07-05,butterfly,starforge,176,0.1657250470809793
2024-07-05,crab,core,79,0.0743879472693032
2024-07-05,crusader,foundry,480,0.4519774011299435
2024-07-05,destroyer,foundry,269,0.2532956685499058
2024-07-05,dragonfly,starforge,366,0.3446327683615819
2024-07-05,falcon,starforge,261,0.2457627118644068
2024-07-05,gunbot,core,181,0.1704331450094162
2024-07-05,heavyballista,advancedfoundry,606,0.5706214689265536
2024-07-05,heavyhunter,foundry,222,0.20903954802259886
2024-07-05,heavyturret,starforge,10,0.009416195856873822
2024-07-05,hornet,core,145,0.13653483992467044
2024-07-05,hunter,core,78,0.07344632768361582
2024-07-05,katbus,advancedstarforge,47,0.044256120527306965
2024-07-05,kingcrab,foundry,205,0.19303201506591336
2024-07-05,kraken,advancedstarforge,17,0.0160075329566855
2024-07-05,locust,advancedstarforge,296,0.2787193973634652
