"refdate","bin10","c"
2024-01-30,900,1
2024-01-30,925,6
2024-01-30,950,1
2024-01-30,975,4
2024-01-30,1000,9
2024-01-30,1025,10
2024-01-30,1050,15
2024-01-30,1075,14
2024-01-30,1100,13
2024-01-30,1125,15
2024-01-30,1150,22
2024-01-30,1175,29
2024-01-30,1200,45
2024-01-30,1225,58
2024-01-30,1250,80
2024-01-30,1275,79
2024-01-30,1300,90
2024-01-30,1325,116
2024-01-30,1350,129
2024-01-30,1375,200
2024-01-30,1400,146
2024-01-30,1425,416
2024-01-30,1450,131
2024-01-30,1475,199
2024-01-30,1500,736
2024-01-30,1525,154
2024-01-30,1550,307
2024-01-30,1575,153
2024-01-30,1600,211
2024-01-30,1625,147
2024-01-30,1650,162
2024-01-30,1675,145
2024-01-30,1700,120
2024-01-30,1725,112
2024-01-30,1750,84
2024-01-30,1775,74
2024-01-30,1800,68
2024-01-30,1825,55
2024-01-30,1850,46
2024-01-30,1875,43
2024-01-30,1900,39
2024-01-30,1925,37
2024-01-30,1950,16
2024-01-30,1975,10
2024-01-30,2000,9
2024-01-30,2025,14
2024-01-30,2050,10
2024-01-30,2075,5
2024-01-30,2100,2
2024-01-30,2125,1
2024-01-30,2150,2
2024-01-31,900,3
2024-01-31,925,3
2024-01-31,950,7
2024-01-31,975,6
2024-01-31,1000,13
2024-01-31,1025,27
2024-01-31,1050,26
2024-01-31,1075,36
2024-01-31,1100,41
2024-01-31,1125,42
2024-01-31,1150,67
2024-01-31,1175,70
2024-01-31,1200,88
2024-01-31,1225,137
2024-01-31,1250,155
2024-01-31,1275,152
2024-01-31,1300,130
2024-01-31,1325,127
2024-01-31,1350,175
2024-01-31,1375,170
2024-01-31,1400,212
2024-01-31,1425,247
2024-01-31,1450,189
2024-01-31,1475,180
2024-01-31,1500,478
2024-01-31,1525,132
2024-01-31,1550,171
2024-01-31,1575,143
2024-01-31,1600,187
2024-01-31,1625,179
2024-01-31,1650,189
2024-01-31,1675,211
2024-01-31,1700,228
2024-01-31,1725,227
2024-01-31,1750,131
2024-01-31,1775,115
2024-01-31,1800,100
2024-01-31,1825,80
2024-01-31,1850,85
2024-01-31,1875,98
2024-01-31,1900,77
2024-01-31,1925,61
2024-01-31,1950,69
2024-01-31,1975,33
2024-01-31,2000,27
2024-01-31,2025,46
2024-01-31,2050,61
2024-01-31,2075,37
2024-01-31,2100,15
2024-01-31,2125,9
2024-01-31,2150,1
2024-01-31,2175,1
2024-02-01,775,6
2024-02-01,800,6
2024-02-01,825,4
2024-02-01,850,3
2024-02-01,875,2
2024-02-01,900,2
2024-02-01,925,8
2024-02-01,950,10
2024-02-01,975,10
2024-02-01,1000,19
2024-02-01,1025,41
2024-02-01,1050,43
2024-02-01,1075,47
2024-02-01,1100,43
2024-02-01,1125,56
2024-02-01,1150,88
2024-02-01,1175,126
2024-02-01,1200,106
