"refdate","1","2","3","4","5"
2024-01-29,4,,,,
2024-01-30,982,980,1444,1064,120
2024-01-31,824,868,1472,1848,482
2024-02-01,854,864,1568,1602,528
2024-02-02,15454,3414,1268,852,210
2024-02-03,25764,5004,724,252,34
2024-02-04,25250,4068,714,264,48
2024-02-05,64558,5316,748,334,78
2024-02-06,87264,3814,554,308,104
2024-02-07,78584,2974,620,298,62
2024-02-08,62266,2312,536,402,120
2024-02-09,55688,2132,642,404,84
2024-02-10,57092,1996,606,118,34
2024-02-11,48294,2072,578,204,18
2024-02-12,26886,1732,412,140,56
2024-02-13,9724,2096,574,170,56
2024-02-14,6516,2408,686,244,6
2024-02-15,6836,2702,942,198,28
2024-02-16,6082,3014,908,172,6
2024-02-17,6810,3474,898,232,8
2024-02-18,6952,3358,930,142,2
2024-02-19,6460,2754,1154,260,18
2024-02-20,4478,2934,1040,312,22
2024-02-21,3198,2564,1468,332,32
2024-02-22,2996,2592,1358,390,22
2024-02-23,3424,2826,1326,376,32
2024-02-24,5516,3460,1112,346,20
2024-02-25,4830,3148,1250,338,30
2024-02-26,3464,2540,1334,400,48
2024-02-27,3046,2454,1404,414,72
2024-02-28,2578,2030,1374,504,54
2024-02-29,2192,1940,1526,436,40
2024-03-01,2612,2326,1334,376,42
2024-03-02,3120,2484,1300,308,34
2024-03-03,2684,2306,1420,294,32
2024-03-04,1516,1418,1550,506,62
2024-03-05,1356,1278,1438,596,100
2024-03-06,1036,1046,1518,660,170
2024-03-07,1204,1058,1462,578,126
2024-03-08,1500,1336,1122,276,44
2024-03-09,1510,1318,1340,386,44
2024-03-10,1272,1290,1394,502,74
2024-03-11,190,114,232,292,160
