"refdate","1","2","3","4","5"
2024-01-29,2,,,2,
2024-01-30,2256,1112,586,416,220
2024-01-31,2904,1216,704,458,212
2024-02-01,2780,1366,626,380,264
2024-02-02,10138,4610,2608,2248,1594
2024-02-03,15320,6180,4458,3490,2330
2024-02-04,15002,6296,3954,3120,1972
2024-02-05,32846,15224,10366,7236,5362
2024-02-06,41896,20650,13668,8974,6856
2024-02-07,37822,18386,12242,8044,6044
2024-02-08,29470,14850,9582,6710,5024
2024-02-09,26184,12994,8844,6282,4646
2024-02-10,26746,13374,8944,6072,4710
2024-02-11,23460,11236,7718,5160,3592
2024-02-12,14166,6430,4016,2714,1900
2024-02-13,6154,2406,1872,1326,862
2024-02-14,4752,1966,1350,1062,730
2024-02-15,5514,1924,1366,1172,730
2024-02-16,4944,1934,1420,1048,836
2024-02-17,5376,2482,1516,1096,952
2024-02-18,5666,2510,1444,1040,724
2024-02-19,5368,2304,1410,910,654
2024-02-20,4366,1690,1252,850,628
2024-02-21,3372,1670,1208,818,526
2024-02-22,3616,1548,954,748,492
2024-02-23,4114,1592,974,780,524
2024-02-24,5042,2400,1456,978,578
2024-02-25,4734,2186,1324,898,454
2024-02-26,3836,1504,1052,778,616
2024-02-27,3694,1378,998,746,574
2024-02-28,3182,1242,916,612,588
2024-02-29,2908,1176,814,700,536
2024-03-01,3072,1320,982,770,546
2024-03-02,3346,1670,1102,708,420
2024-03-03,3260,1418,984,632,442
2024-03-04,2342,1054,718,500,438
2024-03-05,2270,876,720,454,448
2024-03-06,2088,862,598,452,430
2024-03-07,2164,906,558,414,386
2024-03-08,1966,852,682,442,336
2024-03-09,2088,992,680,498,340
2024-03-10,1948,918,726,542,398
2024-03-11,412,168,122,124,162
